case,family,occurrence_classes,suspicious_occurrences,self_check_name_specialization_static_result,disposition
access01,access,ltp_core_cases|ltp_stable_cases|parser_or_guard_test_fixture,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
brk01,brk,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
chdir01,chdir_getcwd,ltp_core_cases|ltp_stable_cases|parser_or_guard_test_fixture|static_guard_detector,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
clone01,process_wait_signal,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
close01,fd_pipe_fcntl,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup01,fd_pipe_fcntl,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fcntl01,fd_pipe_fcntl,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fcntl02,fd_pipe_fcntl,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fork01,process_wait_signal,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getpid01,process_wait_signal,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
mmap01,mmap_memory,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
open01,file_io,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
pipe01,fd_pipe_fcntl,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
read01,file_io,ltp_core_cases|ltp_stable_cases|parser_or_guard_test_fixture,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
stat01,stat_metadata,ltp_batch_selection_lists|ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
wait401,process_wait_signal,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
write01,file_io,ltp_core_cases|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
access03,access,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
close02,fd_pipe_fcntl,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup02,fd_pipe_fcntl,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fcntl03,fd_pipe_fcntl,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getcwd01,chdir_getcwd,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getpid02,process_wait_signal,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getppid01,process_wait_signal,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getuid01,permissions_creds,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
geteuid01,permissions_creds,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getgid01,permissions_creds,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getegid01,permissions_creds,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getresuid01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getresuid02,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getresuid03,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
